query,prediction,ground_truth,f1_score,exact_match
চার্লসটন উপদ্বীপ প্রসারিত করার জন্য কোন শহরটি অবরুদ্ধ করে?  ,"

অ্যাশলি এবং কুপার নদী এ",তে চার্লস্টোনিয,0.0,0
চার্লসটনের কত অংশ জল দ্বারা isাকা?  ,"

১৮.৫ বর্গমাইল ৪৭.৯ কিমি ২","১২৭.৫ বর্গমাইল ৩৩০.২ কিমি ২, ",0.6,0
চার্লসটনের মোট অঞ্চল শুকনো জমি কেমন?  ,"

বর্গমাইল ৩৩০.২ কিমি ২","১২৭.৫ বর্গমাইল ৩৩০.২ কিমি ২, ",0.888888888888889,0
কোন শহর কুপার নদীর সরাসরি পূর্ব দিকে জমি দখল করে?  ,"

মাউন্ট প্লিজেন্ট জ",মাউন্ট প্লিজেন্ট জ,1.0,1
চার্লস্টনের সবচেয়ে মরসুমে কোন মৌসুম?  ,"

গ্রীষ্মটি",গ্রীষ্ম এ,0.0,0
চার্লস্টনের বার্ষিক বৃষ্টিপাতের অর্ধেকটি কোন আকারে ঘটে?  ,"

বজ্রপাতের",  ,0.0,0
চার্লসটনের সংক্ষিপ্ত রূপটি কোন মৌসুমে চিহ্নিত করা হয়?  ,"

গ্রীষ্মটি",শীতকাল স,0.0,0
চার্লসটনের তুষারপাতের মৌসুমী রেকর্ডটি কী?  ,"

বৃষ্টিপাতের প্রায় অর্ধেকটি বজ্রপাতের আকারে জুন থেকে �", ০.২৫ সেমি ক,0.0,0
চার্লসটনে কোন মরসুমকে সংক্ষিপ্ত বিবেচনা করা হয়?  ,"

শীতকাল স",শীতকাল স,1.0,1
চার্লস্টনের সবচেয়ে আর্দ্র মৌসুমটি কী?  ,"

গ্রীষ্মটি স",গ্রীষ্ম এ,0.0,0
চার্লস্টনের বার্ষিক বৃষ্টিপাতের অর্ধেকটি কোন আকারে ঘটে?  ,"

বজ্রপাতের",  ,0.0,0
১৯৮৯ সালের ২৩ শে ডিসেম্বর চার্লস্টনের বিমানবন্দর কতটা তুষারপাত করেছিল?  ,"

১৫ সেমি ব", ২০.১ সেমি ব,0.6666666666666666,0
চার্লটসনের নগর সীমাতে সবচেয়ে উত্তপ্ত তাপমাত্রা রেকর্ড করা কী?  ,"

১০৪ °  ৪০ °",১০৪ °  ৪০ ,1.0,1
গ্রীষ্মে এবং শুরুর দিকে শরলটসনের জন্য কোন ধরণের ঝড় একটি বড় হুমকি?  ,"

হারিকেনগুলি",হাসিক প,0.0,0
চার্লসটনে 1989 সালে কোন হারিকেন আঘাত হানে?  ,"

হ্যারিকেন হুগো ২",হারিকেনগুলি এ,0.0,0
চার্লসটনের শহরের সীমাটি রেকর্ড করা সর্বনিম্ন তাপমাত্রা কোনটি?  ,"

১৪ ফেব্রুয়ারি, ১৮৯৯-এ"," °  ৪০ ° , ",0.0,0
চার্লসটনের বিমানবন্দর কোন দিন রেকর্ডের সবচেয়ে শীততম দিনে আঘাত করেছিল?  ,"

১৮৯৯-এ,","২১ শে জানুয়ারী, তিহাসি",0.0,0
২০১০ সালে চার্লস্টন = উত্তর চার্লসটন আরবান এরিয়াতে কত লোক বাস করত?  ,"

৫৪৮,৪০৪ জ","৫৪৮,৪০৪ জ",1.0,1
দক্ষিণ ক্যারোলিনার তৃতীয় বৃহত্তম শহর কোনটি?  ,"

নর্থ চার্লসটন এ",্থ চার্লসটন-স,0.0,0
2000 সালে কতগুলি লোক মনস কর্নারে বাস করত?  ,"

২০০০ জ","৯,১২৩ এ",0.0,0
চার্লসটন এবং বার্কলে অন্য কোন কাউন্টির সাথে মিলিত হয়ে একটি মহানগর পরিসংখ্যান অঞ্চল গঠন করে?  ,"

ডরচেস্টার।",  ,0.0,0
মন্টস কর্নার কোন কাউন্টিতে অবস্থিত?  ,"

বার্কলে এবং ডরচেস্টার।",া তিনটি কাউন্টি ন,0.0,0
কোন যুগে দক্ষিণ ক্যারোলিনায় কাউন্টি নিয়ে এসেছিল?  ,"

তিহ্যবাহী প্যারিশ সিস্টেম পুনর্গঠন য",পুনর্গঠন যুগ ,0.28571428571428575,0
কাউন্টি দক্ষিণ ক্যারোলাইনা কোন সিস্টেম প্রতিস্থাপন?  ,"

তিহ্যবাহী প্যারিশ সিস্টেম পুনর্গঠন যুগ পর্যন্ত অব্যাহত",তিহ্যবাহী প্যারিশ সিস্টেম প,0.5454545454545454,0
আজকাল প্যারিশ সিস্টেমের প্রধান ব্যবহার কী?  ,"

জনসেবা জেলা হিসাবে বিভিন্ন সামর্থ্যে বিদ্যমান  চ",জনসেবা জেলা হ,0.4,0
চার্লসটন শহরটি সেন্ট মাইকেলের প্যারিশের সীমা দ্বারা সংজ্ঞায়িত করা হয়েছে এবং অন্য কোন পারিশ?  ,"

সেন্ট ফিলিপ এ",সেন্ট মাইকেলের প্যারিশের ,0.3333333333333333,0
সেন্ট জন প্যারিশ ছাড়া অন্য কোন প্যারিশ বেশিরভাগই একসাথে গ্রামীণ প্যারিশ?  ,"

সেন্ট জর্জের প্যারিশ,",সেন্ট অ্যান্ড্রুয়ের প্যারিশ এ,0.5714285714285715,0
চার্লস টাউন কোন সালে প্রতিষ্ঠিত হয়েছিল?  ,"

১৭০০ স",১৬০৬০০ ,0.0,0
ক্যারোলিনা প্রদেশের বন্দোবস্ত অভিযান প্রতিষ্ঠা করতে কতক্ষণ সময় লাগল?  ,"

সাত বছর স",সাত বছর স,1.0,1
ক্যারোলিনা প্রদেশটি স্থাপন ও উন্নয়নের পরিকল্পনা কী ছিল?  ,"

গ্র্যান্ড মডেল হিসাবে পরিচিত একটি স্বপ্নদর্শন পরিকল্পনা �",্যান্ডের দ,0.0,0
"""গ্র্যান্ড মডেল"" নামে পরিচিত পরিকল্পনাটি কে প্রস্তুত করেছিলেন?  ","

জনস লক দ্বারা পরিচালিত লর্ডস প্রোপ্রাইটারদের জ",জনস লক দ,0.4,0
চার্লসটনের আসল বসতি কোথা থেকে এসেছিল?  ,"

বারমুডা দক্ষিণ ক্যারোলিনার পূর্বদিকে",বারমুডা দ,0.3333333333333333,0
চার্লস্টনের প্রথম গভর্নর কে?  ,"

উইলিয়াম সায়লের",উইলিয়াম সায়লের ,1.0,1
কে ভবিষ্যদ্বাণী করেছিলেন চার্লসটন 'গ্রেট বন্দর শহরে' পরিণত হবে?  ,"

শ্যাফটসবারির দ্বারা",াফটসবারির দ্বার,0.5,0
বন্দোবস্তটি পূর্বে কোন নদীতে স্থানান্তরিত হয়েছিল?  ,"

কুপার নদীর",অ্যাশলে নদীর ,0.5,0
কোন ধর্মীয় দলকে দক্ষিণ ক্যারোলিনায় বসতি স্থাপনের অনুমতি ছিল না?  ,"

ক্যাথলিকদের",ক্যারিবিয়ান ,0.0,0
চার্লসটন আমেরিকাতে সবচেয়ে ধনী ইহুদি সম্প্রদায়টি বন্ধ করে দেওয়া কোন বছর সম্পর্কে?  ,"

১৮৩০ অ",১৮৩০ অ,1.0,1
প্রথম চার্লস্টন বসতি স্থাপনকারীদের মধ্যে অনেকে ইউরোপীয় কোন দেশ থেকে এসেছিলেন?  ,"

ইংল্যান্ড, বার্বাডোসের ক্যারিবিয়ান উপনিবেশ এবং বারম�","ইংল্যান্ড, ",0.2857142857142857,0
কোন যুদ্ধের পরে রাষ্ট্র ক্যাথলিকদের উপর নিষেধাজ্ঞার অবসান ঘটিয়েছিল?  ,"

আমেরিকা বিপ্লবের",আমেরিকা বিপ্লবের ,1.0,1
বারমুডার পাশাপাশি আরও কতগুলি ইংরেজী উপনিবেশ এসেছিল?  ,"

বার্বাডোসের ক্যারিবিয়ান উপনিবেশ এ",বার্বাডোসের ,0.4,0
ফ্রান্সের সাথে কোন দেশ চার্লসটন অঞ্চলে ইংল্যান্ডের দাবিতে প্রতিদ্বন্দ্বিতা করেছিল?  ,"

স্পেন এ",স্পেন এ,1.0,1
জনগোষ্ঠী থেকে নিজেকে রক্ষার উপায় হিসাবে কোন গোষ্ঠী বন্দোবস্তে অভিযান চালায়?  ,"

স্থল থেকে আক্রমণের শিকার হয়েছিল, স্পেন এবং ফ্রান্সের",নীয় আমেরিকানদে,0.0,0
শহরটির সুরক্ষার জন্য কার 1704 পরিকল্পনা ব্যবহার করা হয়েছিল?  ,"

গভর্নর জনসনের এ",গভর্নর জনসনের ,0.8,0
দুর্গে প্রাচীরের সিংহভাগ সরিয়ে দেওয়া হয়েছিল কোন দশকে?  ,"

১৭২০ এর",১৭০৪ ,0.0,0
ইউরোপীয় দেশ এবং আদি আমেরিকানদের পাশাপাশি চার্লসটন বন্দোবস্তে আর কে আক্রমণ করেছিল?  ,"

স্পেন এবং ফ্রান্সের পর্যায়ক্রমিক আক্রমণ স",জলদস্যুদের অ,0.0,0
সুলিভান দ্বীপে সাধারণ বেঞ্চের জন্য কোন লেখক মূল্য দিয়েছেন?  ,"

টনি মরিসন প",টনি মরিসন প,1.0,1
উত্তর আমেরিকার দাস হিসাবে বিক্রি হওয়া শতকরা কত ভাগ সুলিভান দ্বীপে অবতরণ করেছিলেন?  ,"

৪০%",৪০% অ,0.6666666666666666,0
দাস ব্যবসায়ের কোন পর্যায়ে চার্লস টাউনকে দাস সরবরাহ করেছিল?  ,"

দাস হিসাবে",মধ্য প্যাসেজের ,0.0,0
কোন মানুষকে চার্লস টাউনে দাস হতে আনা হয়েছিল?  ,"

আফ্রিকানদের মধ্য প্যাসেজের চ",আফ্রিকানদে,0.0,0
আফ্রিকান ক্রীতদাসদের কোন পণ্যটির চাষ সম্পর্কে দুর্দান্ত জ্ঞান ছিল?  ,"

ধান চ",ান ক,0.0,0
নিম্ন দেশ থেকে কোন দেশ নীল ফসলকে ভর্তুকি দেয়?  ,"

ক্যারিবিয়ান থেকে আফ্রিকান দাসদের জোরালো সহায়তায় গা�",্রিকান ক,0.0,0
নীচের দেশটির জন্য নীল একটি শীর্ষস্থানীয় রফতানি হয়েছিল কোন বছর?  ,"

১৭৫০ স",১৭০০ স,0.5,0
কোন বছরের মধ্যে ধানটি নিম্ন-জমি জন্য একটি সফল পণ্য ফসল ছিল?  ,"

১৭০০ স",১৭০০ স,1.0,1
লোকাউন্ট্রি থেকে নীলার সাথে কী পণ্য রফতানি করা হয়েছিল?  ,"

চা থেকে রেশমকৃমি থেকে শুরু করে নগদ ফসলের জ",কান ,0.0,0
চার্লস টাউন বৃদ্ধিতে কোন লাভজনক বাণিজ্য ব্যাপক অবদান রেখেছিল?  ,"

আটলান্টিক বাণিজ্যের",দাস ব্যবসায়,0.0,0
আফ্রিকান বংশোদ্ভূত মানুষ কোন গণআন্দোলন অবধি চার্লসনে সংখ্যাগরিষ্ঠ ছিল?  ,"

দাস ব্যবসায়ের কারণে চার্লস টাউন ফিলাডেলফিয়ার দক্ষিণে",মদিকে অভিবাসনের ,0.0,0
1739 থেকে 1761 পর্যন্ত চার্লস টাউনে হরিণ জবাইয়ের অনুমান কী?  ,"

১,২৫০,০০০ হ","৫০০,০০০ থেকে ১,২৫০,০০০ হ",0.6666666666666666,0
রেকর্ডগুলি ইঙ্গিত দেয় যে হরিণ ব্যবসায়ের উচ্চতার সময় চার্লস টাউন থেকে কত পাউন্ড হরিণের স্কিনগুলি রফতানি করা হয়েছিল?  ,"

৫,২৩৯,৩৫০ পাউন্ডের","৫,২৩৯,৩৫০ প",0.5,0
চার্লস টাউন এর মূল অর্থনীতির ভিত্তি কোন বাণিজ্য ছিল?  ,"

ডিয়ারস্কিন বাণিজ্যের",ডিয়ারস্কিন বাণিজ্যের ,1.0,1
চার্লস টাউন 1699 থেকে 1715 এর মধ্যে ইউরোপে যে হরিণের চামড়া রফতানি করেছিল তার গড় পরিমাণ কী ছিল?  ,"

৫৪,০০০ হ","৫৪,০০০ হ",1.0,1
দক্ষিণ ক্যারোলিনার প্রাচীনতম কলেজটি কী?  ,"

কলেজ স",চার্লস টাউন বাড়ার ,0.0,0
চার্লসটন কোন বছর অবধি চার্লস টাউন কলেজ সমর্থন করেছিলেন?  ,"

১৭৭০ স",১৭৩৬ ,0.0,0
চার্লস টাউন লাইব্রেরি সোসাইটি কোন সালে প্রতিষ্ঠিত হয়েছিল?  ,"

১৭৩৬ স",১৭৩৬ স,1.0,1
চার্লস টাউনের প্রথম থিয়েটার ভবনটি যেখানে দাঁড়িয়েছিল তা কোথায় অবস্থিত?  ,"

ডক স্ট্রিট থিয়েটারের জায়গায় ১৭৩৬ স",কার প্রথম থিয়েটার ভ,0.0,0
আমেরিকা বিপ্লবের সময় কোন জেনারেল চার্লস টাউন দখলের চেষ্টা করেছিলেন?  ,"

জেনারেল স্যার হেনরি ক্লিনটন স",জেনারেল স্যার হেনরি ক্লিনটন স,1.0,1
জেনারেল ক্লিনটন কখন দক্ষিণ ক্যারোলিনা আক্রমণ করেছিলেন?  ,"

২৮ শে জুন, ১৭৬৭৬","জুন, ১৭৬৭৬।, ",0.6666666666666666,0
দক্ষিণ ক্যারোলিনা রক্ষায় আমেরিকান বাহিনীর কমান্ডার কে ছিলেন?  ,"

জেনারেল স্যার হেনরি ক্লিনটন স",কর্নেল মৌল্ট্রির ,0.0,0
যুদ্ধের পরে ফোর্ট সুলিভানের নামকরণ করা হয় কি?  ,"

মৌল্ট্রি",ফোর্ট সুলিভানের ,0.0,0
আমেরিকান বিপ্লবের বৃহত্তম আমেরিকান পরাজয় কি ছিল?  ,"

চার্লস টাউনকে অবরোধ দেওয়া যুদ্ধের স",চার্লস টাউনকে অবরোধ দ,0.6,0
জেনারেল ক্লিনটন কত সৈন্য নিয়ে ফিরে এসেছিলেন?  ,"

১৪,০০০ স","১৪,০০০ স",1.0,1
কোন বছরে জেনারেল ক্লিনটন চার্লস টাউনে ফিরে এসেছিলেন?  ,"

১৭৮০ স",১৭৮০ স,1.0,1
জেনারেল লিংকন কত সৈন্য নেতৃত্বে ছিলেন?  ,"

৫,৪০০-জ",",০০০ স",0.0,0
কোন শহর দক্ষিণ ক্যারোলিনা রাজ্যের রাজধানী হয়ে ওঠে?  ,"

চার্লসটন ব",কলম্বিয়ার ,0.0,0
1860 সালে চার্লস্টনে কত রঙের মুক্ত মানুষ বাস করতেন?  ,"

৩,৭৮৫ র","৩,৭৮৫ র",1.0,1
চার্লস্টনের জনসংখ্যার কত শতাংশ রঙ মুক্ত মানুষ ছিল?  ,"

১৮% এ",৮৬০ ,0.0,0
চার্লসটনের কালো জনসংখ্যার কত শতাংশ রঙের মুক্ত মানুষ ছিল?  ,"

১৮% এ",১৮৬০ ,0.0,0
ব্রাউন ফেলোশিপ সোসাইটি কোন সালে প্রতিষ্ঠিত হয়েছিল?  ,"

১৭৯০ স",১৮৬০ স,0.5,0
ব্রাউন ফেলোশিপ সোসাইটি কোন সালে শেষ হয়েছিল?  ,"

১৯৪৫ অ",১৯৪৫ অ,1.0,1
ডেনমার্ক ভেসি কী পরিকল্পনা করেছিলেন?  ,"

মুক্ত কৃষ্ণাঙ্গ দাস বিদ্রোহ প",দাস বিদ্রোহ প,0.7499999999999999,0
দাস বিদ্রোহের জন্য ভেসির পরিকল্পনা কখন প্রকাশিত হয়েছিল?  ,"

১৮২২ স",১৮২২ সালের ,0.5,0
ভাসির সাথে কত দাসকে মৃত্যুদন্ড কার্যকর করা হয়েছিল?  ,"

পাঁচজন দাসকে",াগ দাস স,0.0,0
কোন বিপ্লব শ্বেতীদের দাসের প্রতিশোধের ভয়ে ভীত করে তুলেছিল?  ,"

হাইতিয়ান বিপ্লবের স",হাইতিয়ান বিপ্লবের ,0.8,0
1860 সালে চার্লস্টনে কত আফ্রিকান আমেরিকান বাস করতেন?  ,"

১,০০০,০০০",১৮৬০০ স,0.0,0
1880 সালে চার্লস্টনে কত আফ্রিকান আমেরিকান বাস করতেন?  ,"

২,০০০,০০০",",০০০ থ",0.0,0
এএমই জিয়ন চার্চগুলি আমেরিকার কোন অংশে প্রথম প্রতিষ্ঠিত হয়েছিল?  ,"

উত্তরে",উত্তরে ,1.0,1
"কুকুর এবং বন্দুক সহ কী কী নিষিদ্ধ পণ্য ছিল, দাসত্বের অবসান ঘটার পরে ফ্রিম্যানরা কী চায়?  ","

মদ অর্জন করেছিল তাদের সকলকে দাসত্বের অধীনে নিষিদ্ধ করা �",ায়: ,0.0,0
অ্যাভেরি নরমাল ইনস্টিটিউট প্রতিষ্ঠা করে কোন সংস্থা?  ,"

আমেরিকান মিশনারি অ্যাসোসিয়েশন দ",আমেরিকান মিশনারি অ্যাসোস,0.5714285714285715,0
অ্যাভারি নরমাল ইনস্টিটিউট কোন ধরণের স্কুল ছিল?  ,"

মাধ্যমিক বিদ্যালয় হিসাবে প্রতিষ্ঠিত হয়েছিল।",বিনামূল্যে মাধ্যমিক বিদ্যালয় হ,0.4444444444444445,0
কে অ্যাভেরি নরমাল ইনস্টিটিউটে পড়েছেন?  ,"

আমেরিকান মিশনারি অ্যাসোসিয়েশন দ্বার",চার্লস্টনের আফ্রিকান আমেরিকান জনসংখ্যার ,0.25,0
কোন সাধারণ মার্কিন আর্সেনালের পোর্টার মিলিটারি একাডেমিতে রূপান্তরকে সমর্থন করেছিলেন?  ,"

জেনারেল উইলিয়াম টি শেরম্যান আ",উইলিয়াম টি শেরম্যান আ,0.888888888888889,0
পোর্টার মিলিটারি একাডেমির সহায়তায় সৈনিক এবং ছেলেরা কী দ্বারা প্রভাবিত হয়েছিল?  ,"

যুদ্ধের ফলে এতিম বা নিঃস্ব হয়ে পড়ে থাকা প্রাক্তন সৈ",ুদ্ধার ,0.0,0
১৮75৫ সালে চার্লস্টনের জনসংখ্যার কত শতাংশ কালো ছিল?  ,"

৭৩%","৫৭%, ",0.0,0
1875 সালে চার্লসটন কাউন্টি কত শতাংশ কালো ছিল?  ,"

৭৩%","৭%, ",0.0,0
"1876 সালে, চার্লসটনের ব্ল্যাক রিপাবলিকানরা কার বিরুদ্ধে লড়াই করেছিল?  ","

কৃষ্ণাঙ্গরা শহরের জনসংখ্যার ৫৭%",াইট ডেমোক্র্যাটদের ,0.0,0
1876 এর দ্বিতীয় দাঙ্গাটি কখন হয়েছিল?  ,"

নভেম্বরের",নভেম্বরের নির্বাচনের পরের দিনেই ,0.4,0
১৮7676 সালে চার্লস্টনে কালো এবং সাদাদের মধ্যে কতগুলি বড় দাঙ্গা হয়েছিল?  ,"

দুটি প",দুটি ,0.6666666666666666,0
চার্লসটনে সাদা ডেমোক্রেটিক আধা-সামরিক দলগুলি কী নামে পরিচিত?  ,"

রেড শার্ট ন",রেড শার্ট ন,1.0,1
আমেরিকান নাগরিকত্ব কী ছিল ফ্রিম্যানকে?  ,"

সাদা বিদ্রোহীরা",ফেডারেল সাংবিধানিক সংশোধনীর ম,0.0,0
কিংসের রাস্তায় সংঘটিত 1876 সালের ঘটনাটি কোন দিন ঘটেছিল?  ,"

সেপ্টেম্বর ক", সেপ্টেম্বর ক,1.0,1
ভোটারদের ভয় দেখানোর ফলে 1876 সালের নির্বাচনে কে জিতল?  ,"

রেড শার্ট নামে পরিচিত সাদা ডেমোক্র্যাটিক আধা-সামরিক দল",ওয়েড হ্যাম্পটনের,0.0,0
1886 সালে চার্লস্টনের প্রায় ধ্বংস কি?  ,"

ভূমিকম্প দ্বার",একটি ভূমিকম্প দ,0.4,0
1886 সালের চার্লস্টন ভূমিকম্পের তারিখটি কী ছিল?  ,"

আগস্ট ৩১, ১৮৮৬-এ","আগস্ট ৩১, ১৮৮৬-এ",1.0,1
চার্লস্টনে 1886 সালের ভূমিকম্পে কতটি বিল্ডিং ক্ষতিগ্রস্থ হয়েছিল?  ,"

২,০০০ ব"," ২,০০০ বিল্ডিং ক",0.4,0
চার্লস্টন শহরে 1886 সালের ভূমিকম্পের ক্ষয়ক্ষতির দাম কত?  ,"

৬ মিলিয়ন ডলারের", মিলওয়াকি,0.0,0
ভূমিকম্পের আগে চার্লসটনের সমস্ত শহরের বিল্ডিংয়ের মোট মূল্য কী ছিল?  ,"

২৪ মিলিয়ন ডলার", মিলিয়ন ডলারের ,0.4,0
নতুন সংবিধান কোন বছর কেটে গিয়েছিল যে কৃষ্ণাঙ্গদের সাথে বৈষম্যমূলক আচরণ করা হয়েছিল?  ,"

১৮৯৫ স",১৮৮৯ স,0.5,0
উইলিয়াম এনস্টন হোম কোন সালে নির্মিত হয়েছিল?  ,"

১৮৮৯ স",১৮৮৯ স,1.0,1
দক্ষিণ ক্যারোলিনায় কৃষ্ণাঙ্গরা কি সংখ্যাগরিষ্ঠ ছিল?  ,"

কালো ছিল এমন একটি রাজ্যে",১৯ ০ স,0.0,0
একটি বড় ডাকঘর এবং আদালতটি কোন সালে নির্মিত হয়েছিল?  ,"

১৮৮৯ স",১৮৮৯ স,1.0,1
দক্ষিণ ক্যারোলিনার চার্লস্টনে নয় জন গির্জার সদস্যকে হত্যা করে 21 বছরের বৃদ্ধের নাম কী ছিল?  ,"

ডিলান ছাদ বাইবেল অধ্যয়নের স",ডিলান ছাদ ব,0.5,0
ক্লিমেন্টা পিনকনি দক্ষিণ ক্যারোলিনা রাজ্যের জন্য কোন সরকারী অফিসে কাজ করেছিলেন?  ,"

রাজ্য সিনেটর হিসাবে",রাজ্য সিনেটর হ,0.6666666666666666,0
দক্ষিণ ক্যারোলিনা স্টেট হাউস থেকে কনফেডারেটের পতাকাটি কোন দিন সরানো হয়েছিল?  ,"

জুন ১৭, ২০১৫-এ","জুন ১৭, ২০১৫-এ ",1.0,1
নয়টি ভুক্তভোগীদের জন্য একটি স্মারক পরিষেবাটি কোন কলেজের ক্যাম্পাসে অনুষ্ঠিত হয়েছিল?  ,"

চার্লসন কলেজের ক্যাম্পাসে",চার্লসন কলেজের ,0.8,0
স্পোলিটো ফেস্টিভাল ইউএসএ কোন মৌসুমে অনুষ্ঠিত হয়?  ,"

বসন্তের শেষের দিকে,",বসন্তের ,0.5,0
স্পোলিটো ফেস্টিভাল ইউএসএ কোন সালে প্রতিষ্ঠিত হয়েছিল?  ,"

১৯ ১৯৭৭ স",১৯৭৭ স,0.8,0
জিয়ান কার্লো মেনোটির পেশা কী?  ,"

সুরকার",স্কার ব,0.0,0
স্পোলিটো ফেস্টিভাল ইউএসএ কোন ইতালিয়ান উত্সবের প্রতিপক্ষ?  ,"

বিশ্বের অন্যতম বৃহত্ পারফর্মিং আর্ট ফেস্টিভ্যালে পরিণত �", দেই দেউ মন্ডি দ,0.0,0
জিয়ান কার্লো মেনোটি কোন বড় পুরষ্কার জিতেছিলেন?  ,"

পুলিৎজার পুরস্কার ব",পুলিৎজার পুরস্কার ব,1.0,1
ফুটলাইট খেলোয়াড়রা কোন সালে নাট্য প্রযোজনা তৈরি শুরু করেছিলেন?  ,"

১৯৩১ স",১৯৩১ স,1.0,1
বার্ষিক চার্লসটন ফ্যাশন সপ্তাহ কোথায় অনুষ্ঠিত হয়?  ,"

মেরিওন স্কয়ারে",মেরিওন স্কয়ারে ,1.0,1
চার্লস্টন রন্ধনপ্রণালী কোন দুটি সংস্কৃতি দ্বারা প্রভাবিত হয়?  ,"

ব্রিটিশ এবং ফরাসী উপাদানগুলির দ্বারা দৃ",ব্রিটিশ এবং ফরাসী উ,0.6,0
"""চার্লস্টনের প্রাদেশিকতা"" প্রকাশিত হয় কোন সালে?  ","

১৮৮৭ এ",১৮৮৭ এ,1.0,1
"""দ্য হুগেনোট এলিমেন্ট ইন চার্লস্টনের প্রাদেশিকতা"" শীর্ষক রচনাটির রচয়িতা কে?  ","

কলেজ অফ চার্লসনের সিলভেস্টার প্রাইমার ত",সিলভেস্টার প্রাইমার ত,0.6666666666666666,0
সিলভেস্টার প্রাইমার কোন কলেজের অন্তর্ভুক্ত?  ,"

কলেজ অফ চার্লসনের",চার্লসনের সিলভেস্ট,0.4,0
কোন দুটি প্রাথমিক সংস্কৃতি চার্লসনের উচ্চারণের অনন্য বৈশিষ্ট্যযুক্ত?  ,"

ফরাসী হুগেনটস এবং সেফার্ডিক ইহুদিদের",ফরাসী হুগেনটস এবং সেফার্ডিক ইহুদিদের ,1.0,1
চার্লস্টনের উচ্চারণে প্রাইমারের কাজটি কোন ধরণের জার্নাল প্রকাশিত হয়েছিল?  ,"

জার্মান জার্নালে",জার্মান জার্নালে ,1.0,1
প্রতি বছর স্পোলিটো ফেস্টিভাল ইউএসএ কত দিন চালায়?  ,"

১৭ দিনের শিল্প উত্সবটি",১৭ দ,0.3333333333333333,0
স্পোলিটো ফেস্টিভ্যাল ইউএসএ কোন ধরণের উত্সব?  ,"

বার্ষিক জ্যোতি কার্লো মেনোত্তি প",শিল্প উত্সবটি ,0.0,0
লাইটের হলিডে ফেস্টিভাল কোথায় অনুষ্ঠিত হয়?  ,"

জেমস আইল্যান্ড কাউন্টি পার্কে",জেমস আইল্যান্ড কাউন্টি পার্কে ,1.0,1
"""চার্লসটন"" কে লিখেছেন?  ","

চার্লিস্টনের ডক কর্মীদের সংগীত সহ গিচি নাচগুলি একট",ক্রিস স্মিথ ল,0.0,0
চার্লস্টন নৃত্যটি কোন দশকে জাতীয়ভাবে জনপ্রিয় ছিল?  ,"

১৯২০ স",১৯২০ স,1.0,1
