query,prediction,ground_truth,f1_score,exact_match,similarity_score,sas_score
চার্লসটন মূলত কোন বছর প্রতিষ্ঠিত হয়েছিল?  ,"

১৭০৭০০ স",১৭০৭০০ ,0.6666666666666666,0,0.987775444984436,0.9135435819625854
চার্লস্টনের মূল নাম কী ছিল?  ,"

চার্লস টাউন হ",চার্লসের স,0.0,0,0.9679970741271973,0.8442516326904297
চার্লস টাউন কে নামকরণ করা হয়েছিল?  ,"

চার্লসের সম্মানে",ইংল্যান্ডের দ্বিতীয় রাজা চ,0.0,0,0.9233187437057495,0.6577088236808777
২০১০ সালে চার্লস্টনে কত লোক বাস করত?  ,"

১২০,০৮৩।","১২০,০৮৩। ",1.0,1,1.0,0.9999999403953552
চার্লস্টনের প্রথম অবস্থানটি কোথায় ছিল?  ,"

অ্যাসলে নদীর পশ্চিম তীরে আলবেমারল পয়েন্ট ন",আলবেমারল পয়েন্ট ন,0.6,0,0.8763913512229919,0.8605364561080933
"চার্লসটন, দক্ষিণ ক্যারোলিনা কত বড়?  ","

১২৭.৫ বর্গমাইল ৩৩০.২ কিমি ২,","১২৭.৫ বর্গমাইল ৩৩০.২ কিমি ২, ",1.0,1,0.9999998807907104,1.0
চার্লসটন উপদ্বীপ প্রসারিত করার জন্য কোন শহরটি অবরুদ্ধ করে?  ,"

চার্লস্টোনিয়ানরা",তে চার্লস্টোনিয,0.0,0,0.9716717004776001,0.8238650560379028
চার্লসটনের কত অংশ জল দ্বারা isাকা?  ,"

১৮.৫ বর্গমাইল ৪৭.৯ কিমি ২ জ","১২৭.৫ বর্গমাইল ৩৩০.২ কিমি ২, ",0.5454545454545454,0,0.7483586668968201,0.8953070640563965
চার্লসটনের মোট অঞ্চল শুকনো জমি কেমন?  ,"

১০৯.০ বর্গমাইল ২৮২.২ কিমি ২","১২৭.৫ বর্গমাইল ৩৩০.২ কিমি ২, ",0.6,0,0.7002472281455994,0.9193501472473145
কোন শহর কুপার নদীর সরাসরি পূর্ব দিকে জমি দখল করে?  ,"

মাউন্ট প্লিজেন্ট জমিটি",মাউন্ট প্লিজেন্ট জ,0.6666666666666666,0,0.923928439617157,0.9085740447044373
চার্লস্টনের সবচেয়ে মরসুমে কোন মৌসুম?  ,"

গ্রীষ্ম এ",গ্রীষ্ম এ,1.0,1,1.0,1.0
চার্লস্টনের বার্ষিক বৃষ্টিপাতের অর্ধেকটি কোন আকারে ঘটে?  ,"

বজ্রপাতের আকারে",  ,0.0,0,0.5611431002616882,0.0
চার্লসটনের সংক্ষিপ্ত রূপটি কোন মৌসুমে চিহ্নিত করা হয়?  ,"

শীতকাল সংক্ষিপ্ত এবং হালকা এবং মাঝে মাঝে বৃষ্টিপাতে",শীতকাল স,0.2,0,0.7827224135398865,0.7092199325561523
চার্লসটনের তুষারপাতের মৌসুমী রেকর্ডটি কী?  ,"

২০.১ সেমি বা ০.২৫ সেমি কেবল দশকে বেশিরভাগ সময়ে", ০.২৫ সেমি ক,0.3333333333333333,0,0.6473369598388672,0.7713534832000732
চার্লসটনে কোন মরসুমকে সংক্ষিপ্ত বিবেচনা করা হয়?  ,"

শীতকাল স",শীতকাল স,1.0,1,0.9999999403953552,1.0
চার্লস্টনের সবচেয়ে আর্দ্র মৌসুমটি কী?  ,"

গ্রীষ্ম এ",গ্রীষ্ম এ,1.0,1,1.0,1.0
চার্লস্টনের বার্ষিক বৃষ্টিপাতের অর্ধেকটি কোন আকারে ঘটে?  ,"

বজ্রপাতের আকারে",  ,0.0,0,0.5611431002616882,0.0
১৯৮৯ সালের ২৩ শে ডিসেম্বর চার্লস্টনের বিমানবন্দর কতটা তুষারপাত করেছিল?  ,"

১৫ সেমি ব", ২০.১ সেমি ব,0.6666666666666666,0,0.5841236114501953,0.8790565729141235
চার্লটসনের নগর সীমাতে সবচেয়ে উত্তপ্ত তাপমাত্রা রেকর্ড করা কী?  ,"

১০৪ °  ৪০ °,",১০৪ °  ৪০ ,1.0,1,0.9924865961074829,0.9195370078086853
গ্রীষ্মে এবং শুরুর দিকে শরলটসনের জন্য কোন ধরণের ঝড় একটি বড় হুমকি?  ,"

হারিকেনগুলি একটি বড় হুমকি গ্রীষ্ম এবং শরত শুর�",হাসিক প,0.0,0,0.5847957730293274,0.6723665595054626
চার্লসটনে 1989 সালে কোন হারিকেন আঘাত হানে?  ,"

হ্যারিকেন হুগো ২৮ শে সেপ্টেম্বর, ১৯৮৯ একটি বিভাগ �",হারিকেনগুলি এ,0.0,0,0.6955379843711853,0.6497516632080078
চার্লসটনের শহরের সীমাটি রেকর্ড করা সর্বনিম্ন তাপমাত্রা কোনটি?  ,"

১৪ ফেব্রুয়ারি, ১৮৯৯-এ,"," °  ৪০ ° , ",0.0,0,0.724563479423523,0.670242428779602
চার্লসটনের বিমানবন্দর কোন দিন রেকর্ডের সবচেয়ে শীততম দিনে আঘাত করেছিল?  ,"

১৮৯৯-এ,","২১ শে জানুয়ারী, তিহাসি",0.0,0,0.7199497222900391,0.6231675744056702
২০১০ সালে চার্লস্টন = উত্তর চার্লসটন আরবান এরিয়াতে কত লোক বাস করত?  ,"

৪ ৫৪৮,৪০৪ জনসংখ্যার","৫৪৮,৪০৪ জ",0.4,0,0.9008892178535461,0.8671637773513794
দক্ষিণ ক্যারোলিনার তৃতীয় বৃহত্তম শহর কোনটি?  ,"

সামারভিলে",্থ চার্লসটন-স,0.0,0,0.8574122786521912,0.669681966304779
2000 সালে কতগুলি লোক মনস কর্নারে বাস করত?  ,"

৯,১২৩ এর ২০০০ জনসংখ্যা স","৯,১২৩ এ",0.2857142857142857,0,0.7973883152008057,0.8546580076217651
চার্লসটন এবং বার্কলে অন্য কোন কাউন্টির সাথে মিলিত হয়ে একটি মহানগর পরিসংখ্যান অঞ্চল গঠন করে?  ,"

ডরচেস্টার।",  ,0.0,0,0.5985575914382935,0.0
মন্টস কর্নার কোন কাউন্টিতে অবস্থিত?  ,"

বার্কলে এ",া তিনটি কাউন্টি ন,0.0,0,0.7855852842330933,0.6821560859680176
কোন যুগে দক্ষিণ ক্যারোলিনায় কাউন্টি নিয়ে এসেছিল?  ,"

তিহ্যবাহী প্যারিশ সিস্টেম পুনর্গঠন যুগ পর্যন্ত অব্যাহত",পুনর্গঠন যুগ ,0.4444444444444445,0,0.9067487716674805,0.8062585592269897
কাউন্টি দক্ষিণ ক্যারোলাইনা কোন সিস্টেম প্রতিস্থাপন?  ,"

তিহ্যবাহী প্যারিশ সিস্টেম পুনর্গঠন যুগ পর্যন্ত অব্যাহত",তিহ্যবাহী প্যারিশ সিস্টেম প,0.5454545454545454,0,0.8773502707481384,0.8657605648040771
আজকাল প্যারিশ সিস্টেমের প্রধান ব্যবহার কী?  ,"

জনসেবা জেলা হ",জনসেবা জেলা হ,1.0,1,1.0,1.0000001192092896
চার্লসটন শহরটি সেন্ট মাইকেলের প্যারিশের সীমা দ্বারা সংজ্ঞায়িত করা হয়েছে এবং অন্য কোন পারিশ?  ,"

সেন্ট ফিলিপ এ",সেন্ট মাইকেলের প্যারিশের ,0.3333333333333333,0,0.9704042077064514,0.7764589190483093
সেন্ট জন প্যারিশ ছাড়া অন্য কোন প্যারিশ বেশিরভাগই একসাথে গ্রামীণ প্যারিশ?  ,"

সেন্ট অ্যান্ড্রুয়ের প্যারিশ এ",সেন্ট অ্যান্ড্রুয়ের প্যারিশ এ,1.0,1,0.9999999403953552,1.0
চার্লস টাউন কোন সালে প্রতিষ্ঠিত হয়েছিল?  ,"

১৬৩৬৩",১৬০৬০০ ,0.0,0,0.8746762871742249,0.8483899831771851
ক্যারোলিনা প্রদেশের বন্দোবস্ত অভিযান প্রতিষ্ঠা করতে কতক্ষণ সময় লাগল?  ,"

সাত বছর সময় নিয়েছিল।",সাত বছর স,0.5714285714285715,0,0.9437947869300842,0.7694305181503296
ক্যারোলিনা প্রদেশটি স্থাপন ও উন্নয়নের পরিকল্পনা কী ছিল?  ,"

গ্র্যান্ড মডেল হ",্যান্ডের দ,0.0,0,0.8992931842803955,0.6828266382217407
"""গ্র্যান্ড মডেল"" নামে পরিচিত পরিকল্পনাটি কে প্রস্তুত করেছিলেন?  ","

জনস লক দ্বারা",জনস লক দ,0.6666666666666666,0,0.954200029373169,0.8202559351921082
চার্লসটনের আসল বসতি কোথা থেকে এসেছিল?  ,"

দক্ষিণ ক্যারোলিনার পূর্বদিকে অ",বারমুডা দ,0.0,0,0.8017539381980896,0.6474201083183289
চার্লস্টনের প্রথম গভর্নর কে?  ,"

উইলিয়াম সায়লের",উইলিয়াম সায়লের ,1.0,1,1.0,1.0
কে ভবিষ্যদ্বাণী করেছিলেন চার্লসটন 'গ্রেট বন্দর শহরে' পরিণত হবে?  ,"

আর্ল অফ শ্যাফটসবারির",াফটসবারির দ্বার,0.0,0,0.953171968460083,0.7869302034378052
বন্দোবস্তটি পূর্বে কোন নদীতে স্থানান্তরিত হয়েছিল?  ,"

অ্যাশলে নদীর",অ্যাশলে নদীর ,1.0,1,1.0,1.0
কোন ধর্মীয় দলকে দক্ষিণ ক্যারোলিনায় বসতি স্থাপনের অনুমতি ছিল না?  ,"

রোমান ক্যাথলিক চার্চের",ক্যারিবিয়ান ,0.0,0,0.7151015400886536,0.7209111452102661
চার্লসটন আমেরিকাতে সবচেয়ে ধনী ইহুদি সম্প্রদায়টি বন্ধ করে দেওয়া কোন বছর সম্পর্কে?  ,"

১৮৩০ অ",১৮৩০ অ,1.0,1,1.0,0.9999998807907104
প্রথম চার্লস্টন বসতি স্থাপনকারীদের মধ্যে অনেকে ইউরোপীয় কোন দেশ থেকে এসেছিলেন?  ,"

ইংল্যান্ড, বার্বাডোসের ক্যারিবিয়ান উপনিবেশ এবং বারম�","ইংল্যান্ড, ",0.2857142857142857,0,0.7643889784812927,0.7303439378738403
কোন যুদ্ধের পরে রাষ্ট্র ক্যাথলিকদের উপর নিষেধাজ্ঞার অবসান ঘটিয়েছিল?  ,"

আমেরিকা বিপ্লবের",আমেরিকা বিপ্লবের ,1.0,1,0.9999999403953552,1.0
বারমুডার পাশাপাশি আরও কতগুলি ইংরেজী উপনিবেশ এসেছিল?  ,"

বার্বাডোসের ক্যারিবিয়ান উপনিবেশ এ",বার্বাডোসের ,0.4,0,0.875819981098175,0.8311524987220764
ফ্রান্সের সাথে কোন দেশ চার্লসটন অঞ্চলে ইংল্যান্ডের দাবিতে প্রতিদ্বন্দ্বিতা করেছিল?  ,"

স্পেন এ",স্পেন এ,1.0,1,1.0,1.0000001192092896
জনগোষ্ঠী থেকে নিজেকে রক্ষার উপায় হিসাবে কোন গোষ্ঠী বন্দোবস্তে অভিযান চালায়?  ,"

স্থানীয় আমেরিকানদের অভিযানের",নীয় আমেরিকানদে,0.0,0,0.8674504160881042,0.7983035445213318
শহরটির সুরক্ষার জন্য কার 1704 পরিকল্পনা ব্যবহার করা হয়েছিল?  ,"

গভর্নর জনসনের একটি ১৭০৪ পরিকল্পনা অ",গভর্নর জনসনের ,0.5,0,0.9234156012535095,0.8661282062530518
দুর্গে প্রাচীরের সিংহভাগ সরিয়ে দেওয়া হয়েছিল কোন দশকে?  ,"

১৭২০ এর দশকে",১৭০৪ ,0.0,0,0.9262904524803162,0.7399153113365173
ইউরোপীয় দেশ এবং আদি আমেরিকানদের পাশাপাশি চার্লসটন বন্দোবস্তে আর কে আক্রমণ করেছিল?  ,"

জলদস্যুদের অন্তর্ভুক্ত ছিল।",জলদস্যুদের অ,0.4,0,0.9696781039237976,0.8412849307060242
সুলিভান দ্বীপে সাধারণ বেঞ্চের জন্য কোন লেখক মূল্য দিয়েছেন?  ,"

টনি মরিসন প",টনি মরিসন প,1.0,1,0.9999998807907104,1.0
উত্তর আমেরিকার দাস হিসাবে বিক্রি হওয়া শতকরা কত ভাগ সুলিভান দ্বীপে অবতরণ করেছিলেন?  ,"

৪০% অ",৪০% অ,1.0,1,0.9999998211860657,0.9999998807907104
দাস ব্যবসায়ের কোন পর্যায়ে চার্লস টাউনকে দাস সরবরাহ করেছিল?  ,"

চার্লস শহরে আ",মধ্য প্যাসেজের ,0.0,0,0.8595178127288818,0.6882372498512268
কোন মানুষকে চার্লস টাউনে দাস হতে আনা হয়েছিল?  ,"

ওলোফ, ইওরোবা, ফুলানি, ইগবো, মালিঙ্কে এবং উইন্ডও�",আফ্রিকানদে,0.0,0,0.5821030735969543,0.6603264212608337
আফ্রিকান ক্রীতদাসদের কোন পণ্যটির চাষ সম্পর্কে দুর্দান্ত জ্ঞান ছিল?  ,"

ধান চ",ান ক,0.0,0,0.9656621813774109,0.8010540008544922
নিম্ন দেশ থেকে কোন দেশ নীল ফসলকে ভর্তুকি দেয়?  ,"

ব্রিটেনের অনুদানের সাহায্যে",্রিকান ক,0.0,0,0.7762316465377808,0.6223477721214294
নীচের দেশটির জন্য নীল একটি শীর্ষস্থানীয় রফতানি হয়েছিল কোন বছর?  ,"

১৭৫০ স",১৭০০ স,0.5,0,0.9557568430900574,0.8939768671989441
কোন বছরের মধ্যে ধানটি নিম্ন-জমি জন্য একটি সফল পণ্য ফসল ছিল?  ,"

১৭০০ স",১৭০০ স,1.0,1,0.9999998211860657,1.0
লোকাউন্ট্রি থেকে নীলার সাথে কী পণ্য রফতানি করা হয়েছিল?  ,"

ধান চ",কান ,0.0,0,0.9202024936676025,0.8411712050437927
চার্লস টাউন বৃদ্ধিতে কোন লাভজনক বাণিজ্য ব্যাপক অবদান রেখেছিল?  ,"

লোভনীয় দাস ব্যবসায়ের",দাস ব্যবসায়,0.4,0,0.8466683030128479,0.8819839954376221
আফ্রিকান বংশোদ্ভূত মানুষ কোন গণআন্দোলন অবধি চার্লসনে সংখ্যাগরিষ্ঠ ছিল?  ,"

বিংশ শতাব্দীর প্রথমদিকে অভিবাসনের পরে",মদিকে অভিবাসনের ,0.2857142857142857,0,0.9384791851043701,0.7573520541191101
1739 থেকে 1761 পর্যন্ত চার্লস টাউনে হরিণ জবাইয়ের অনুমান কী?  ,"

৫০০,০০০ থেকে ১,২৫০,০০০ হরিণকে জবাই করা হয়েছি�","৫০০,০০০ থেকে ১,২৫০,০০০ হ",0.5454545454545454,0,0.8756035566329956,0.8334383368492126
রেকর্ডগুলি ইঙ্গিত দেয় যে হরিণ ব্যবসায়ের উচ্চতার সময় চার্লস টাউন থেকে কত পাউন্ড হরিণের স্কিনগুলি রফতানি করা হয়েছিল?  ,"

৫,২৩৯,৩৫০ পাউন্ডের","৫,২৩৯,৩৫০ প",0.5,0,0.9706850051879883,0.8762560486793518
চার্লস টাউন এর মূল অর্থনীতির ভিত্তি কোন বাণিজ্য ছিল?  ,"

ডিয়ারস্কিন বাণিজ্যের",ডিয়ারস্কিন বাণিজ্যের ,1.0,1,1.0000001192092896,1.0
চার্লস টাউন 1699 থেকে 1715 এর মধ্যে ইউরোপে যে হরিণের চামড়া রফতানি করেছিল তার গড় পরিমাণ কী ছিল?  ,"

৫৪,০০০ হরিণের স্কিনগুলি ই","৫৪,০০০ হ",0.3333333333333333,0,0.8874294757843018,0.8217846155166626
দক্ষিণ ক্যারোলিনার প্রাচীনতম কলেজটি কী?  ,"

চার্লস টাউন কলেজ স",চার্লস টাউন বাড়ার ,0.5714285714285715,0,0.9154735207557678,0.8481478691101074
চার্লসটন কোন বছর অবধি চার্লস টাউন কলেজ সমর্থন করেছিলেন?  ,"

১৭৭০ স",১৭৩৬ ,0.0,0,0.9523262977600098,0.8316414952278137
চার্লস টাউন লাইব্রেরি সোসাইটি কোন সালে প্রতিষ্ঠিত হয়েছিল?  ,"

১৭৭০ স",১৭৩৬ স,0.5,0,0.9765766859054565,0.9449819326400757
চার্লস টাউনের প্রথম থিয়েটার ভবনটি যেখানে দাঁড়িয়েছিল তা কোথায় অবস্থিত?  ,"

ডক স্ট্রিট থিয়েটারের জায়গায় ১৭৩৬ স",কার প্রথম থিয়েটার ভ,0.0,0,0.9006181955337524,0.7306841611862183
আমেরিকা বিপ্লবের সময় কোন জেনারেল চার্লস টাউন দখলের চেষ্টা করেছিলেন?  ,"

স্যার হেনরি ক্লিনটন স",জেনারেল স্যার হেনরি ক্লিনটন স,0.888888888888889,0,0.9730753302574158,0.941399872303009
জেনারেল ক্লিনটন কখন দক্ষিণ ক্যারোলিনা আক্রমণ করেছিলেন?  ,"

১৭৬৭৬।,","জুন, ১৭৬৭৬।, ",0.6666666666666666,0,0.8637012243270874,0.8418980240821838
দক্ষিণ ক্যারোলিনা রক্ষায় আমেরিকান বাহিনীর কমান্ডার কে ছিলেন?  ,"

কর্নেল মৌল্ট্রির",কর্নেল মৌল্ট্রির ,1.0,1,0.9999998807907104,1.0
যুদ্ধের পরে ফোর্ট সুলিভানের নামকরণ করা হয় কি?  ,"

ফোর্ট মৌল্ট্রি র",ফোর্ট সুলিভানের ,0.4,0,0.9575842022895813,0.8151444792747498
আমেরিকান বিপ্লবের বৃহত্তম আমেরিকান পরাজয় কি ছিল?  ,"

চার্লস টাউনকে অবরোধ দেওয়া যুদ্ধের",চার্লস টাউনকে অবরোধ দ,0.6666666666666665,0,0.971252977848053,0.9238757491111755
জেনারেল ক্লিনটন কত সৈন্য নিয়ে ফিরে এসেছিলেন?  ,"

১৪,০০০ স","১৪,০০০ স",1.0,1,0.9999998211860657,1.0
কোন বছরে জেনারেল ক্লিনটন চার্লস টাউনে ফিরে এসেছিলেন?  ,"

১৭৮০ স",১৭৮০ স,1.0,1,1.0,1.0
জেনারেল লিংকন কত সৈন্য নেতৃত্বে ছিলেন?  ,"

৫,৪০০-জনবাহিনী",",০০০ স",0.0,0,0.5007270574569702,0.7207385301589966
কোন শহর দক্ষিণ ক্যারোলিনা রাজ্যের রাজধানী হয়ে ওঠে?  ,"

চার্লসটন ব",কলম্বিয়ার ,0.0,0,0.8914209008216858,0.6210651397705078
1860 সালে চার্লস্টনে কত রঙের মুক্ত মানুষ বাস করতেন?  ,"

৩,৭৮৫","৩,৭৮৫ র",0.6666666666666666,0,0.9832692742347717,0.8861944675445557
চার্লস্টনের জনসংখ্যার কত শতাংশ রঙ মুক্ত মানুষ ছিল?  ,"

৮%।",৮৬০ ,0.0,0,0.6844304203987122,0.7242695093154907
চার্লসটনের কালো জনসংখ্যার কত শতাংশ রঙের মুক্ত মানুষ ছিল?  ,"

১৮% এ",১৮৬০ ,0.0,0,0.7334909439086914,0.6699287295341492
ব্রাউন ফেলোশিপ সোসাইটি কোন সালে প্রতিষ্ঠিত হয়েছিল?  ,"

১৭৯০ স",১৮৬০ স,0.5,0,0.9405848979949951,0.9512253999710083
ব্রাউন ফেলোশিপ সোসাইটি কোন সালে শেষ হয়েছিল?  ,"

১৯৪৫ অ",১৯৪৫ অ,1.0,1,0.9999999403953552,1.0
ডেনমার্ক ভেসি কী পরিকল্পনা করেছিলেন?  ,"

মুক্ত কৃষ্ণাঙ্গ দাস বিদ্রোহ প্রকাশিত হলে",দাস বিদ্রোহ প,0.4444444444444444,0,0.8866320252418518,0.8290276527404785
দাস বিদ্রোহের জন্য ভেসির পরিকল্পনা কখন প্রকাশিত হয়েছিল?  ,"

মে মাসে",১৮২২ সালের ,0.0,0,0.8389067649841309,0.6886112689971924
ভাসির সাথে কত দাসকে মৃত্যুদন্ড কার্যকর করা হয়েছিল?  ,"

পাঁচজন দাসকে ফাঁসি দেওয়া হয়েছিল।",াগ দাস স,0.0,0,0.7964004278182983,0.6501146554946899
কোন বিপ্লব শ্বেতীদের দাসের প্রতিশোধের ভয়ে ভীত করে তুলেছিল?  ,"

হাইতিয়ান বিপ্লবের",হাইতিয়ান বিপ্লবের ,1.0,1,0.9999999403953552,1.0
1860 সালে চার্লস্টনে কত আফ্রিকান আমেরিকান বাস করতেন?  ,"

১,০০০,০০০ থেকে",১৮৬০০ স,0.0,0,0.7490273714065552,0.7032018303871155
1880 সালে চার্লস্টনে কত আফ্রিকান আমেরিকান বাস করতেন?  ,"

২,০০০,০০০-এর চেয়ে বেশি হয়ে গিয়েছিল।",",০০০ থ",0.0,0,0.7688367962837219,0.6774161458015442
এএমই জিয়ন চার্চগুলি আমেরিকার কোন অংশে প্রথম প্রতিষ্ঠিত হয়েছিল?  ,"

উত্তরে",উত্তরে ,1.0,1,0.9999999403953552,1.0
"কুকুর এবং বন্দুক সহ কী কী নিষিদ্ধ পণ্য ছিল, দাসত্বের অবসান ঘটার পরে ফ্রিম্যানরা কী চায়?  ","

মদ অর্জন করেছিল",ায়: ,0.0,0,0.9061523675918579,0.7016016244888306
অ্যাভেরি নরমাল ইনস্টিটিউট প্রতিষ্ঠা করে কোন সংস্থা?  ,"

আমেরিকান মিশনারি অ্যাসোসিয়েশন দ্বারা",আমেরিকান মিশনারি অ্যাসোস,0.5714285714285715,0,0.9716019034385681,0.8460118174552917
অ্যাভারি নরমাল ইনস্টিটিউট কোন ধরণের স্কুল ছিল?  ,"

মাধ্যমিক বিদ্যালয় হ",বিনামূল্যে মাধ্যমিক বিদ্যালয় হ,0.8571428571428571,0,0.9055818319320679,0.8548338413238525
কে অ্যাভেরি নরমাল ইনস্টিটিউটে পড়েছেন?  ,"

আফ্রিকান আমেরিকান জনসংখ্যার",চার্লস্টনের আফ্রিকান আমেরিকান জনসংখ্যার ,0.8571428571428571,0,0.9671396017074585,0.8727728724479675
কোন সাধারণ মার্কিন আর্সেনালের পোর্টার মিলিটারি একাডেমিতে রূপান্তরকে সমর্থন করেছিলেন?  ,"

আমেরিকান মিশনারি অ্যাসোসিয়েশন দ্বারা",উইলিয়াম টি শেরম্যান আ,0.0,0,0.7094766497612,0.6550213694572449
পোর্টার মিলিটারি একাডেমির সহায়তায় সৈনিক এবং ছেলেরা কী দ্বারা প্রভাবিত হয়েছিল?  ,"

আমেরিকান মিশনারি অ্যাসোসিয়েশন দ্বারা",ুদ্ধার ,0.0,0,0.6690494418144226,0.6122429966926575
১৮75৫ সালে চার্লস্টনের জনসংখ্যার কত শতাংশ কালো ছিল?  ,"

৭৩% ছিল।","৫৭%, ",0.0,0,0.7169167995452881,0.8065704703330994
1875 সালে চার্লসটন কাউন্টি কত শতাংশ কালো ছিল?  ,"

৭৩% ছিল।","৭%, ",0.0,0,0.6668925285339355,0.8162442445755005
"1876 সালে, চার্লসটনের ব্ল্যাক রিপাবলিকানরা কার বিরুদ্ধে লড়াই করেছিল?  ","

হোয়াইট ডেমোক্র্যাটদের",াইট ডেমোক্র্যাটদের ,0.5,0,0.9868212342262268,0.9221274852752686
1876 এর দ্বিতীয় দাঙ্গাটি কখন হয়েছিল?  ,"

নভেম্বরের নির্বাচনের পরের দিনেই",নভেম্বরের নির্বাচনের পরের দিনেই ,1.0,1,0.9999998807907104,1.0
১৮7676 সালে চার্লস্টনে কালো এবং সাদাদের মধ্যে কতগুলি বড় দাঙ্গা হয়েছিল?  ,"

দুটি প্রধান দাঙ্গা",দুটি ,0.5,0,0.7583258152008057,0.7765476703643799
চার্লসটনে সাদা ডেমোক্রেটিক আধা-সামরিক দলগুলি কী নামে পরিচিত?  ,"

রেড শার্ট ন",রেড শার্ট ন,1.0,1,1.0,1.0
আমেরিকান নাগরিকত্ব কী ছিল ফ্রিম্যানকে?  ,"

স্বাধীনতাকে নাগরিকত্ব প্রদানের পরে",ফেডারেল সাংবিধানিক সংশোধনীর ম,0.0,0,0.715822160243988,0.70285564661026
কিংসের রাস্তায় সংঘটিত 1876 সালের ঘটনাটি কোন দিন ঘটেছিল?  ,"

সেপ্টেম্বর ক", সেপ্টেম্বর ক,1.0,1,0.9999999403953552,1.0
ভোটারদের ভয় দেখানোর ফলে 1876 সালের নির্বাচনে কে জিতল?  ,"

রিপাবলিকানদের",ওয়েড হ্যাম্পটনের,0.0,0,0.8483278751373291,0.7250728011131287
1886 সালে চার্লস্টনের প্রায় ধ্বংস কি?  ,"

ভূমিকম্প দ্বারা প্রায় ধ্বংস হয়েছিল।",একটি ভূমিকম্প দ,0.25,0,0.9114865064620972,0.7746759057044983
1886 সালের চার্লস্টন ভূমিকম্পের তারিখটি কী ছিল?  ,"

আগস্ট ৩১, ১৮৮৬-এ,","আগস্ট ৩১, ১৮৮৬-এ",1.0,1,0.9975160956382751,0.9662348031997681
চার্লস্টনে 1886 সালের ভূমিকম্পে কতটি বিল্ডিং ক্ষতিগ্রস্থ হয়েছিল?  ,"

২,০০০ ব"," ২,০০০ বিল্ডিং ক",0.4,0,0.9078865647315979,0.8278233408927917
চার্লস্টন শহরে 1886 সালের ভূমিকম্পের ক্ষয়ক্ষতির দাম কত?  ,"

৬ মিলিয়ন ডলারের ক", মিলওয়াকি,0.0,0,0.7631272077560425,0.6540253758430481
ভূমিকম্পের আগে চার্লসটনের সমস্ত শহরের বিল্ডিংয়ের মোট মূল্য কী ছিল?  ,"

২৪ মিলিয়ন ডলার ২০০৬ ডলারে ৫৩১ মিলিয়ন ডলার ছিল।", মিলিয়ন ডলারের ,0.1818181818181818,0,0.806975781917572,0.7723175287246704
নতুন সংবিধান কোন বছর কেটে গিয়েছিল যে কৃষ্ণাঙ্গদের সাথে বৈষম্যমূলক আচরণ করা হয়েছিল?  ,"

১৮৯৫ স",১৮৮৯ স,0.5,0,0.9178953766822815,0.9655255079269409
উইলিয়াম এনস্টন হোম কোন সালে নির্মিত হয়েছিল?  ,"

১৮৮৯ স",১৮৮৯ স,1.0,1,0.9999999403953552,1.0
